Run,Cell,Species,CellLine,Strain,Barcode.1st,Barcode.2nd,Remark,TotalReads,UniqReads,Length.Median,Length.Mean,Length.Std,Background,GC.Median,GC.Mean,GC.Std,Spikiness,GenomicDepth,GenomicCoverage
20220524_MEF,20220524_MEF.sc001,Mouse,epithelium,B6D2F1,11,18,,297422,106034,1665.0,1916.315342248713,1008.714966962336,0.002417,0.4154929577464789,0.4186866070496407,0.0550695549866964,0.4071548542175824,0.2032231457977852,0.0710951468712799
20220524_MEF,20220524_MEF.sc002,Mouse,epithelium,B6D2F1,11,20,,445265,194721,1515.0,1705.292572449813,811.8863594081947,0.0074849999999999,0.4140518417462483,0.4169978884726707,0.0550761954621796,0.2072718750340648,0.2799413664759731,0.1164556478896692
20220524_MEF,20220524_MEF.sc004,Mouse,epithelium,B6D2F1,11,22,,445570,195161,1566.0,1757.093036006169,831.8721094677002,0.001881,0.4146067415730337,0.417651928301747,0.0543707524738269,0.2147922389170379,0.2858906096095222,0.1194556470292473
20220524_MEF,20220524_MEF.sc005,Mouse,epithelium,B6D2F1,11,24,,372906,172503,1663.0,1843.545851376497,819.7138786877956,0.02322,0.4135906040268457,0.4167910387545936,0.0541164296889662,0.1852484070152952,0.2658604239716503,0.1115589532771401
20220524_MEF,20220524_MEF.sc007,Mouse,epithelium,B6D2F1,12,18,,324013,151027,1786.0,1988.510206784217,916.9900543290712,0.00253,0.4149532710280374,0.4179857885015714,0.0534355835059927,0.2212220461348829,0.2456538449458291,0.1056696448821224
20220524_MEF,20220524_MEF.sc010,Mouse,epithelium,B6D2F1,12,21,,482536,198878,1613.0,1799.265594987882,834.0809243742406,0.002519,0.413953488372093,0.4170457089423053,0.0543446508962217,0.175431656599134,0.3171748580116001,0.1242448311362638
20220524_MEF,20220524_MEF.sc011,Mouse,epithelium,B6D2F1,12,22,,388434,186647,1648.0,1840.598386258552,858.3216829201299,0.0033909999999999,0.4141025641025641,0.4171827274291942,0.0541917517667797,0.1922846941041806,0.2628345200021618,0.1207880076687084
20220524_MEF,20220524_MEF.sc012,Mouse,epithelium,B6D2F1,12,23,,324440,166172,1774.0,1973.13327154996,905.7225872692565,0.049316,0.4138735120109558,0.417144336098725,0.0535061726236414,0.1974959172563963,0.2435385405960115,0.1156457838160762
20220524_MEF,20220524_MEF.sc013,Mouse,epithelium,B6D2F1,12,24,,344565,155671,1838.0,2061.199632558408,999.7747968919712,0.002775,0.4149068322981366,0.4179794577258489,0.0533430797087379,0.2126263352014179,0.2549610365261257,0.1126605547783523
20220524_MEF,20220524_MEF.sc014,Mouse,epithelium,B6D2F1,13,17,,297223,137531,1583.0,1785.894445615897,854.4358126277757,0.027539,0.4142779881016766,0.4173175151953553,0.0546570974547693,0.3926162361043413,0.1922825344396657,0.0852825648573454
20220524_MEF,20220524_MEF.sc015,Mouse,epithelium,B6D2F1,13,18,,280247,128877,1887.0,2137.594504837946,1079.640141320794,0.042446,0.41544477028348,0.4184176013889007,0.0532502444946659,0.2332442316207219,0.2150505613801431,0.0981805937596619
20220524_MEF,20220524_MEF.sc016,Mouse,epithelium,B6D2F1,13,19,,355137,171467,1724.0,1950.283646415929,958.876891413345,0.038424,0.4161290322580645,0.4189425602344575,0.054151308872322,0.2258882778796127,0.252502032819777,0.1174949644296824
20220524_MEF,20220524_MEF.sc017,Mouse,epithelium,B6D2F1,13,20,,367182,210338,1625.0,1846.81251129135,914.0282754549444,0.028939,0.4135338345864661,0.4166364669638817,0.0539935846025114,0.1754745764424194,0.2491585215131374,0.1377455930763818
20220524_MEF,20220524_MEF.sc018,Mouse,epithelium,B6D2F1,13,21,,414223,135123,1829.0,2053.008828992844,1018.047407417006,0.034676,0.4146620847651776,0.4177494301374185,0.0538454729197034,0.2335472446189167,0.3064479581503207,0.0962119103329648
20220524_MEF,20220524_MEF.sc019,Mouse,epithelium,B6D2F1,13,22,,388126,188412,1585.0,1765.511389932701,803.624794082887,0.030248,0.4152671755725191,0.4184117152869408,0.0551996602123826,0.2060097684087183,0.2556924596849096,0.1168751630418757
20220524_MEF,20220524_MEF.sc021,Mouse,epithelium,B6D2F1,13,24,,376638,156278,1777.0,1990.38595323718,953.5074550186584,0.002762,0.4142298067784525,0.4174816369200556,0.0535441089206272,0.2113094629504665,0.272228544757477,0.1089613769827596
20220524_MEF,20220524_MEF.sc022,Mouse,epithelium,B6D2F1,14,17,,338586,165396,1687.0,1890.853926334373,889.2964748699326,0.007895,0.4145845678784922,0.4172809552657856,0.0538672882649342,0.2021527480011098,0.2423304920366203,0.1126536575975936
20220524_MEF,20220524_MEF.sc023,Mouse,epithelium,B6D2F1,14,18,,301846,163921,1608.0,1794.310466627217,817.7869006874903,0.00381,0.4141414141414141,0.4171410126817936,0.0543017346964444,0.2047530920512453,0.200080249221932,0.1046498886265495
20220524_MEF,20220524_MEF.sc024,Mouse,epithelium,B6D2F1,14,19,,361811,166637,1618.0,1817.949242965248,864.0723460044229,0.003771,0.4144912093766649,0.4173909592142066,0.0544759137251971,0.2335312104192521,0.2425554564223315,0.1064477651137181
20220524_MEF,20220524_MEF.sc025,Mouse,epithelium,B6D2F1,14,20,,385986,187146,1685.0,1886.962499866414,890.3177323182254,0.004994,0.4138218151540383,0.4169048454782148,0.0539781482556125,0.1836638364905057,0.2660043738918842,0.1241141615170949
20220524_MEF,20220524_MEF.sc026,Mouse,epithelium,B6D2F1,14,21,,452686,199063,1641.0,1831.951758990873,851.5344851780337,0.00607,0.4138271604938272,0.416963619965359,0.054166157664325,0.1745710646587248,0.3056993379233932,0.1271059470588639
20220524_MEF,20220524_MEF.sc027,Mouse,epithelium,B6D2F1,14,22,,359592,164854,1592.0,1774.397933929416,800.6000017377214,0.002628,0.4144230769230769,0.4173053488401909,0.0543901837963133,0.2478200950528716,0.2412492166318649,0.1031374261361773
20220524_MEF,20220524_MEF.sc029,Mouse,epithelium,B6D2F1,14,24,,348331,159907,1599.0,1786.533428805493,823.1947920410498,0.010935,0.4141705069124424,0.4171734709690008,0.0544478698307166,0.206843863973055,0.2309194637963086,0.1009123536377871
20220524_MEF,20220524_MEF.sc030,Mouse,epithelium,B6D2F1,15,17,,342368,165627,1550.0,1746.732380590121,828.3407728466209,0.002393,0.4142715559960357,0.4171797433113749,0.0545659774393259,0.2180112690485337,0.2204959700476513,0.1030262420880813
20220524_MEF,20220524_MEF.sc033,Mouse,epithelium,B6D2F1,15,20,,379166,162562,1700.0,1924.564861406725,948.8413586955252,0.004803,0.4138370402743248,0.4168314367694834,0.0539713072990117,0.2042609311847147,0.2612372777362233,0.1097230651461263
20220524_MEF,20220524_MEF.sc034,Mouse,epithelium,B6D2F1,15,21,,361963,125660,1748.0,1987.981481776221,996.2311465264828,0.022045,0.4152308365684707,0.418114244853898,0.0536711122602742,0.2799182967759433,0.2553585197620022,0.0870092289480062
20220524_MEF,20220524_MEF.sc035,Mouse,epithelium,B6D2F1,15,23,,217616,121280,1756.0,1974.766086741425,950.5480797183052,0.001838,0.4143122798121829,0.4173286315436323,0.0537365311582246,0.2309064545893932,0.157582841188024,0.0860284840336191
20220524_MEF,20220524_MEF.sc036,Mouse,epithelium,B6D2F1,15,24,,308754,158876,1699.0,1912.835362169239,921.0585986226836,0.003265,0.413953488372093,0.4171388653552394,0.0534925003952367,0.211590895521398,0.2182594708706007,0.1088472612470928
20220524_MEF,20220524_MEF.sc037,Mouse,epithelium,B6D2F1,16,17,,231757,119318,1734.0,1975.104946445633,990.3454494280304,0.003871,0.4163242002705954,0.4194122300352569,0.0536637906035765,0.2665876460470381,0.1659737622416396,0.0842736948266718
